EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
6.940000057,0.867500007,0.370914489,0.333506465,0,0,0,0,0,0,0,0,0,0,0,0,8,6,56,10.71428585,2,25,20.32622337,54.18060303,25,0.446428567,0,0,8,6,56,10.71428585,2,25,20.32622337,54.18060303,25,0.446428567,0,0,25,0,4.49E-05,0,25,4.49E-05,6.60E-09,9.33E-07,25,636006,616913,0.125313282,0.129191637,0,0,9.02,14.93333244,1,0.01871345,0.001253133,7.800266266,0.975033283,0.153223857,0.125232786,0,3,141,1,0,1,1,8,1,7,0,3,1,8,60,1,8,8,46,0,2,1,8,34,8,8,27,67,12,0.9,14,39,1,30,0,8,1,58,2,0,7,1,3,1.25,1,6,3,2,1,1,1,3,0.272727273,0,0,0
4.013636589,0.802727282,0.555594623,0.301277012,1,0,0,0,1,100,1.003764153,100,0,0,0,0,4,2,12,16.66666603,2,50,17.69134331,52.22222137,5,0.416666657,0,0,5,3,20,15,2,40,17.81681252,51.07913589,8.5,0.425000012,2.5,12.5,23,2,4.13E-05,3.59E-06,25,4.49E-05,9.91E-08,1.40E-05,23,635209,628843,0.125470519,0.126740694,2.083333254,0.000328388,8.59,6.833333492,2,0.008563074,0.002506266,4.764304161,0.952860892,0.28493613,0.365034819,0,7,75,4,0,2,0,8,2,9,0,1,2,3,29,1,3,6,17,0,3,6,3,16,6,6,16,36,11,0.81,10,27,4,20,0,3,3,44,3,0,2,1,4,3,2,11,6,3,4,2,1,2,1.2,0,0,0
1,1,1,1,1,0,0,0,1,100,0.627352595,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.627352595,100,0,0,0,0,0,4,0,7.18E-06,4,7.18E-06,2.33E-10,3.30E-08,0,634413,636006,0.12562795,0.125313282,0,0,2.73,1,2.5,0.001253133,0.003132832,1,1,1,1,16,39,1021,122,0,12,0,321,13,50,0,8,13,19,174,1,19,240,34,1,5,122,2,496,240,232,35,762,634,0.23,86,669,122,429,3,19,17,75,1,0,0,1,9,3.736842105,1,15,4.210526316,1,1189,84.26315789,1,3,1.380952381,0,0,0
3.109090805,0.777272701,0.641082585,0.228513062,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,16.66666603,2,50,19.82434082,65.02057648,5,0.416666657,0,0,4,2,12,16.66666603,2,50,19.82434082,65.02057648,5,0.416666657,0,0,11,0,1.97E-05,0,11,1.97E-05,4.11E-09,5.81E-07,11,636006,625663,0.125313282,0.127384871,0,0,6.08,8.483332634,1,0.010630743,0.001253133,3.910196304,0.977549076,0.314314842,0.271672428,0,3,88,1,0,1,1,3,1,8,0,5,1,3,47,1,3,3,20,0,1,1,3,11,3,3,12,28,3,1.68,13,15,1,11,0,3,1,33,2,0,3,1,2,1.333333333,1,3,3,3,1,1,1,6,1,0,0,0
3,1,0.360000014,0.121652931,1,0,0,0,1,100,0.501882076,100,0,0,0,0,2,0,2,0,2,100,14.80552101,92.1875,1,0.5,0,0,3,0,6,0,3,100,15.05646133,90.90908813,3,0.5,2,33.33333206,8,2,1.44E-05,3.59E-06,10,1.80E-05,2.97E-08,4.20E-06,8,635209,629641,0.125470519,0.126580074,2.666666746,0.000420337,5.69,5.333333492,2,0.006683375,0.002506266,3,1,0.360000014,0.121652931,0,51,243,21,0,10,2,26,11,78,0,18,11,2,89,1,2,22,21,0,7,25,2,88,22,19,21,117,62,0.76,37,83,21,60,9,2,13,55,3,0,1,1,9,5.5,2,13,7.5,2,177,89,1,6,4.5,0,1,1
2.962962866,0.740740716,0.597137392,0.174488217,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,16.66666603,2,50,19.82434082,70.22222137,5,0.416666657,0,0,4,2,12,16.66666603,2,50,19.82434082,70.22222137,5,0.416666657,0,0,9,0,1.62E-05,0,9,1.62E-05,5.83E-09,8.25E-07,9,636006,626459,0.125313282,0.127223015,0,0,5.31,7.983333111,1,0.010004177,0.001253133,3.705793858,0.926448464,0.301583856,0.107272848,0,3,50,1,0,1,0,2,1,6,0,2,1,2,32,1,2,2,8,0,0,1,2,3,2,2,8,12,2,2.67,6,10,1,7,0,2,1,0,2,0,3,1,1,0.5,0,3,2,1,1,1,1,4,0.8,0,0,0
2.770833254,0.692708313,0.812919676,0.22866717,1,0,0,0,1,100,0.501882076,100,0,0,0,0,3,2,6,33.33333206,1,33.33333206,17.56587219,52.04460907,2,0.333333343,0,0,4,3,12,25,1,25,17.56587219,51.28205109,4.5,0.375,1.5,12.5,10,2,1.80E-05,3.59E-06,12,2.15E-05,3.78E-08,5.34E-06,10,635209,629640,0.125470519,0.126580268,2.666666746,0.000420337,6.43,5.833333492,2,0.007309942,0.002506266,3.548392296,0.887098074,0.304312944,0.074965194,0,12,94,7,0,4,1,9,5,18,0,2,4,2,38,1,2,7,15,0,1,7,2,21,9,7,11,36,14,1.06,20,25,5,17,4,2,5,25,3,0,1,1,5,3.5,2,7,5.5,4,6,4,2,4,3.25,1,0,0
3.384615421,0.846153855,0.502958596,0.199798226,2,0,2,0,2,100,0.752823114,100,1,0.5,0,0,2,0,2,0,2,100,14.80552101,92.1875,1,0.5,0,0,4,1,12,8.333333015,3,75,15.05646133,89.55223846,5.5,0.458333343,3,25,7,6,1.26E-05,1.08E-05,13,2.33E-05,2.98E-08,4.22E-06,7,634412,629641,0.125628144,0.126580074,4.166666508,0.000656776,6.07,5.333333492,3,0.006683375,0.003759399,3.677479029,0.919369757,0.385317981,0.193420082,2,12,134,11,0,3,2,16,4,16,0,0,3,4,46,1,4,13,16,0,7,11,2,39,16,11,16,60,31,0.77,30,47,8,33,3,4,4,61,3,0,1,1,8,4.75,3,10,4.5,2,15,5,1,3,1.833333333,0,0,0
5.980952263,0.854421735,0.403943837,0.296468645,0,0,0,0,0,0,0,0,0,0,0,0,7,5,42,11.90476227,2,28.5714283,20.20075226,54.76190567,18.5,0.440476179,0,0,7,5,42,11.90476227,2,28.5714283,20.20075226,54.76190567,18.5,0.440476179,0,0,21,0,3.77E-05,0,21,3.77E-05,6.45E-09,9.12E-07,21,636006,618506,0.125313282,0.128858894,0,0,8.46,13.4333334,1,0.016833751,0.001253133,6.822649479,0.974664211,0.165474951,0.0925401,0,6,142,5,0,1,1,10,2,10,0,3,2,6,51,1,6,10,44,0,1,5,6,41,10,6,25,75,19,0.68,16,44,5,33,0,6,2,41,2,0,6,1,3,1.5,1,5,3.166666667,2,6,1.833333333,1,2,0.888888889,0,0,0
6.940000057,0.867500007,0.370914489,0.333506465,0,0,0,0,0,0,0,0,0,0,0,0,8,6,56,10.71428585,2,25,20.32622337,54,25,0.446428567,0,0,8,6,56,10.71428585,2,25,20.32622337,54,25,0.446428567,0,0,25,0,4.49E-05,0,25,4.49E-05,6.64E-09,9.40E-07,25,636006,616913,0.125313282,0.129191637,0,0,9.02,14.93333244,1,0.01871345,0.001253133,7.800266266,0.975033283,0.1526777,0.125295028,0,3,140,1,0,1,1,8,1,7,0,3,1,8,64,1,8,8,40,0,2,1,8,27,8,8,27,61,12,1.05,15,39,1,30,0,8,1,58,2,0,7,1,3,1.25,1,6,3,2,1,1,1,3,0.272727273,0,0,0
4.758620739,0.793103456,0.485735029,0.273002148,2,0,2,0,2,100,1.38017571,91.66666412,1,0.5,0,0,4,2,12,16.66666603,2,50,17.69134331,52.22222137,5,0.416666657,0,0,6,5,30,16.66666603,2,33.33333206,17.81681252,50.35461044,12.5,0.416666657,4,13.33333302,23,6,4.13E-05,1.08E-05,29,5.21E-05,9.91E-08,1.40E-05,23,634412,628843,0.125628144,0.126740694,3.416666746,0.000538556,9.01,6.833333492,3,0.008563074,0.003759399,5.455621719,0.909270287,0.262111396,0.353399605,0,7,101,4,0,2,0,10,2,10,0,2,2,5,41,1,5,9,17,0,3,5,5,20,9,8,16,50,14,0.82,10,30,4,20,0,5,2,53,3,0,2,1,5,2.6,1,11,3.8,1,4,1.8,1,2,1,0,0,0
1,1,1,1,1,0,0,0,1,100,0.752823114,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.752823114,100,0,0,0,0,0,4,0,7.18E-06,4,7.18E-06,2.45E-10,3.47E-08,0,633617,636006,0.125785768,0.125313282,0,0,2.78,1,3,0.001253133,0.003759399,1,1,1,1,6,23,267,14,0,2,0,58,6,31,0,7,6,7,83,1,7,44,13,1,2,23,0,110,44,12,17,173,105,0.48,11,122,14,77,0,7,8,78,1,0,0,1,4,2.428571429,2,12,6.285714286,4,49,11.42857143,2,3,2.222222222,1,0,0
