EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,1.391752601,100,0,0,0,0,1,0,0,0,1,100,1.391752601,100,0,0,0,0,3,0,2.50E-07,0,3,2.50E-07,1.73E-09,2.45E-07,3,3765540,3755846,0.051519834,0.051652811,0,0,8.02E-14,3.666666508,1,0.00188906,0.000515198,1,1,1,1,3,52,318,17,0,1,0,34,8,56,1,3,8,4,70,1,4,33,56,0,4,18,1,145,33,4,60,231,89,0.3,25,149,17,118,3,3,9,43,1,0,1,1,7,5.25,4,28,13.5,4,3120,807.75,1,6,4.166666667,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,36.28865814,100,0,0,0,0,1,0,0,0,1,100,36.28865814,100,0,0,0,0,1,0,8.32E-08,0,1,8.32E-08,2.49E-08,3.53E-06,1,3765540,3757785,0.051519834,0.051626157,0,0,8.02E-14,3.166666508,1,0.001631461,0.000515198,1,1,1,1,18,22,1167,13,0,3,0,129,5,34,1,6,5,21,501,1,21,100,88,0,12,25,3,359,100,53,77,514,257,0.97,155,334,13,233,5,20,6,88,1,0,0,1,8,4.476190476,0,17,5.476190476,2,50,10.33333333,1,4,1.47826087,0,3,1
3.666666746,0.916666687,0.402777791,0.236319393,0,0,0,0,0,0,0,0,0,0,0,0,4,1,12,8.333333015,3,75,37.88659668,55.09745026,5.5,0.458333343,0,0,4,1,12,8.333333015,3,75,37.88659668,55.09745026,5.5,0.458333343,0,0,6,0,4.99E-07,0,6,4.99E-07,5.98E-07,8.45E-05,6,3765540,3720942,0.051519834,0.052137334,0,0,8.02E-14,14.08333397,1,0.007255711,0.000515198,3.915869236,0.978967309,0.33342135,0.395927042,0,45,740,42,0,5,1,134,10,56,1,4,10,11,91,1,11,109,98,8,27,59,3,334,109,59,106,546,238,0.17,104,344,42,236,6,10,12,80,1,0,3,1,24,7.363636364,2,23,10.90909091,2,197416,18111.27273,1,8,3.857142857,0,1,1
2,1,0.680000007,0.677243173,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,0.670103073,92.85713959,1,0.5,0,0,2,0,2,0,2,100,0.670103073,92.85713959,1,0.5,0,0,10,0,8.32E-07,0,10,8.32E-07,-1.14E-10,-1.61E-08,10,3765540,3761660,0.051519834,0.051572975,0,0,8.02E-14,3,1,0.001545595,0.000515198,2,1,0.680000007,0.677243173,2,13,187,3,0,1,12,5,2,18,1,2,2,3,79,1,3,5,36,0,3,3,1,67,5,3,34,86,23,0.92,24,57,3,51,3,2,2,57,1,0,2,1,16,9.333333333,3,9,6,4,3,1.666666667,1,1,0.666666667,0,0,0
2,1,0.943709314,0.989694715,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,24.43298912,85.40540314,1,0.5,0,0,2,0,2,0,2,100,24.43298912,85.40540314,1,0.5,0,0,69,0,5.74E-06,0,69,5.74E-06,8.54E-05,0.0121,69,3765540,3751967,0.051519834,0.051706214,0,0,8.02E-14,5.166666985,1,0.002661858,0.000515198,2,1,0.943709314,0.989694715,0,48,250,8,2,2,1,17,4,66,3,9,4,3,56,1,3,12,26,0,0,8,1,125,12,7,27,152,104,0.37,42,131,8,119,9,0,6,33,1,0,2,1,67,23.66666667,1,19,7.666666667,1,60,21.33333333,1,2,1.4,0,4,1
2.643333197,0.660833299,0.730475664,0.072202265,1,0,0,0,1,100,1.391752601,100,0,0,0,0,4,5,12,41.66666794,1,25,1.70103097,50.76922989,3.5,0.291666657,7,58.33333206,4,5,12,41.66666794,1,25,1.70103097,50.76922989,3.5,0.291666657,7,58.33333206,14,1,1.17E-06,8.32E-08,14,1.17E-06,1.80E-09,2.54E-07,14,3186678,2209480,0.060878444,0.087803468,883.1326294,0.023477206,8.02E-14,107.9139633,70.05603027,0.055597097,0.036092751,3.300863743,0.825215936,0.348827094,0.005176537,1,17,157,5,0,2,4,10,3,27,1,7,3,3,66,1,3,10,30,0,0,5,2,39,10,6,26,67,22,0.99,24,48,5,38,3,2,3,66,1,0,4,2,7,3.666666667,0,11,6.333333333,1,5,3.333333333,1,4,2.833333333,0,1,1
22.73529625,0.842047989,0.20160298,0.23317188,17,44,272,16.1764698,1,5.882352829,4.639175415,27.52293587,114,0.419117659,55.46666718,20.3921566,14,80,182,43.95604324,1,7.142857075,26.49484444,53.54166794,51,0.280219793,13.96349239,7.672248363,27,188,702,26.7806263,1,3.703703642,26.70103073,44.16027451,257,0.366096854,88.15692902,12.55796719,74,89,6.16E-06,7.41E-06,151,1.26E-05,2.78E-06,0.000393,74,3186616,2208692,0.060879629,0.08783479,1302.129639,0.034615826,8.02E-14,133.2422485,84.28936005,0.068646185,0.043425739,23.23126411,0.860417187,0.138384208,0.22566466,1,12,340,5,0,1,0,35,2,16,0,3,2,15,83,1,15,35,56,2,11,5,12,122,35,15,45,214,74,0.39,44,119,5,84,1,15,2,74,1,2,13,2,11,4.733333333,1,12,4.933333333,0,12,3.4,1,2,1.058823529,0,6,1
5.21150589,0.651438236,0.577031136,0.16340065,1,0,0,0,1,100,1.752577305,100,0,0,0,0,7,24,42,57.1428566,1,14.28571415,5.618556499,43.59999847,9,0.214285716,0,0,8,30,56,53.57143021,1,12.5,5.670103073,38.73239517,13,0.232142851,0.5,0.892857134,22,5,1.83E-06,4.16E-07,27,2.25E-06,2.06E-08,2.91E-06,22,3763600,2206796,0.051546391,0.087910257,0.75,1.99E-05,8.02E-14,124.9923172,2,0.064395837,0.001030397,6.169783115,0.771222889,0.279233038,0.224438384,0,7,153,3,0,1,0,13,2,13,0,6,2,7,66,1,7,13,35,0,1,3,7,20,13,7,27,68,17,0.97,19,44,3,26,0,7,2,42,2,0,2,1,6,3.428571429,2,2,2,2,3,1.857142857,1,2,1.111111111,0,0,0
7.778853416,0.777885318,0.421920359,0.181961671,2,1,2,50,1,50,0.618556678,66.66666412,0.5,0.25,0,0,9,31,72,43.05555725,1,11.11111069,5.824742317,37.91946411,20.5,0.284722209,3.75,5.208333492,10,38,90,42.22222137,1,10,5.824742317,36.80781937,26,0.288888901,4.449999809,4.944444656,41,5,3.41E-06,4.16E-07,43,3.58E-06,3.50E-08,4.95E-06,41,3187260,2208722,0.060867328,0.087833598,195.7835236,0.005204711,8.02E-14,127.3256149,48.94717789,0.065597944,0.025217505,8.338399887,0.833840013,0.257560998,0.308143079,1,9,140,4,0,1,1,15,2,10,1,1,2,8,28,1,8,15,33,0,6,4,7,45,15,8,25,91,29,0.31,25,54,4,38,0,7,2,80,2,1,8,2,10,3.875,0,8,3.5,1,4,1.875,1,3,1.3,0,0,0
6.64164114,0.73796016,0.46366179,0.098460376,1,0,0,0,1,100,0.360824734,100,0,0,0,0,8,27,56,48.2142868,1,12.5,5.515463829,44.21487427,14.5,0.258928567,0,0,9,30,72,41.66666794,1,11.11111069,5.515463829,42.97188568,21,0.291666657,3.166666746,4.39814806,15,3,1.25E-06,2.50E-07,18,1.50E-06,9.30E-09,1.32E-06,15,3763600,2206796,0.051546391,0.087910257,110.8110428,0.002945802,8.03E-14,125.3256454,2,0.064567566,0.001030397,7.500155926,0.833350658,0.251103759,0.097424895,0,7,139,3,0,1,0,11,2,17,0,9,2,5,68,1,5,11,26,0,1,3,5,18,11,5,23,55,15,1.24,16,38,3,22,0,5,2,19,3,0,3,1,5,3.2,2,2,2,2,3,2.2,1,2,1.428571429,0,0,0
