EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
2,1,0.506172895,0.035043158,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,0.390015602,76.92308044,1,0.5,0,0,2,0,2,0,2,100,0.390015602,76.92308044,1,0.5,0,0,9,0,1.65E-05,0,9,0.001647953,1.34E-07,1.89E-05,9,6576660,6497252,0.038986355,0.039462838,0,0,7.66E-13,11.83333111,1,0.004613385,0.000389864,2,1,0.506172895,0.035043158,0,9,49,1,0,1,0,1,1,19,1,7,1,1,26,1,1,1,11,0,0,1,1,6,1,1,10,17,1,1.53,6,11,1,9,3,0,1,0,1,0,2,1,0,0,0,4,4,4,1,1,1,1,0.25,0,0,0
2,1,0.506172895,0.035043158,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,0.390015602,76.92308044,1,0.5,0,0,2,0,2,0,2,100,0.390015602,76.92308044,1,0.5,0,0,9,0,1.65E-05,0,9,0.001647953,1.34E-07,1.89E-05,9,6576660,6497252,0.038986355,0.039462838,0,0,7.66E-13,11.83333111,1,0.004613385,0.000389864,2,1,0.506172895,0.035043158,0,7,45,1,0,1,0,1,1,15,1,5,1,1,24,1,1,1,10,0,0,1,1,4,1,1,10,15,1,1.6,6,11,1,9,3,0,1,0,1,0,2,1,0,0,0,4,4,4,1,1,1,0,0,0,0,0
3,1,0.371900856,0.172262445,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,100,0.74102962,86.36363983,3,0.5,0,0,3,0,6,0,3,100,0.74102962,86.36363983,3,0.5,0,0,11,0,2.01E-05,0,11,0.002014165,9.56E-06,0.001352621,11,6576660,4909804,0.038986355,0.052222043,0,0,7.66E-13,154.9118042,1,0.060394466,0.000389864,3,1,0.371900856,0.172262445,0,12,51,2,0,1,0,2,2,20,1,5,2,1,24,1,1,2,11,0,0,2,1,7,2,1,12,21,5,1.14,6,17,2,14,3,0,2,0,1,0,3,1,1,1,1,4,4,4,2,2,2,1,1,1,0,0
2,1,0.506172895,0.035043158,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,0.390015602,76.92308044,1,0.5,0,0,2,0,2,0,2,100,0.390015602,76.92308044,1,0.5,0,0,9,0,1.65E-05,0,9,0.001647953,1.34E-07,1.89E-05,9,6576660,6497252,0.038986355,0.039462838,0,0,7.66E-13,11.83333111,1,0.004613385,0.000389864,2,1,0.506172895,0.035043158,0,7,53,1,0,1,0,1,1,22,1,9,1,1,28,1,1,1,10,0,0,1,1,4,1,1,10,15,1,1.87,10,11,1,9,6,0,1,0,1,0,2,1,0,0,0,4,4,4,1,1,1,0,0,0,0,0
3.857134819,0.771426976,0.510616958,0.580909312,5,5,20,25,1,20,2.028081179,80,7.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,20,25,1,20,2.028081179,80,7.5,0.375,0,0,0,69,0,0.000126343,69,0.012634308,0.001448589,0.204861447,0,6556151,6576660,0.039108314,0.038986355,0,0,7.66E-13,1,7.5,0.000389864,0.002923977,3.86006856,0.772013724,0.487008542,0.600868225,0,5,180,4,0,1,1,20,1,8,0,3,1,14,67,1,14,17,26,0,5,7,14,27,17,17,24,89,20,0.75,24,44,4,26,0,14,1,79,1,0,0,2,7,3.142857143,0,6,1.5,1,4,1.214285714,1,2,0.294117647,0,0,0
5.152820587,0.736117184,0.632615507,0.286931396,1,0,0,0,1,100,1.677067041,100,0,0,0,0,6,6,30,20,2,33.33333206,10.68642712,91.0298996,12,0.400000006,0,0,7,8,42,19.04761887,1,14.28571415,11.11544418,82.84883881,17,0.40476191,4,9.523809433,14,1,2.56E-05,1.83E-06,15,0.002746589,0.000383655,0.054256998,14,6571533,4886941,0.039016772,0.052466359,30.91666603,0.000470464,7.66E-13,148.3071289,2.5,0.057819545,0.000974659,5.795087814,0.827869654,0.444816679,0.31418851,0,3,77,1,0,1,1,5,1,7,0,3,1,5,41,1,5,5,11,1,0,1,4,5,5,5,11,27,4,1.52,9,15,1,9,0,5,1,100,1,0,5,2,2,1,0,4,2.2,0,1,1,1,0,0,0,0,0
1,0.5,1.730435729,0.005440706,1,0,0,0,1,100,0.234009355,100,0,0,0,0,1,0,0,0,1,100,0.195007801,100,0,0,0,0,2,1,2,50,1,50,0.27301091,63.63636398,0.5,0.25,0,0,8,4,1.46E-05,7.32E-06,12,0.002197271,2.41E-05,0.003407174,8,6558721,6574096,0.039092988,0.039001562,0,0,7.66E-13,2,4.583333492,0.000779727,0.001786875,1,0.5,1.352750659,0.039857406,4,5,116,2,0,1,2,9,1,8,1,2,1,8,40,1,8,9,22,0,2,2,4,30,9,8,17,61,12,0.66,15,29,2,19,0,7,1,87,1,0,1,1,4,2.5,0,8,2.75,1,2,1.125,1,1,0.3,0,0,0
3.568518639,0.594753087,0.754189014,0.765522659,4,4,12,33.33333206,1,25,1.053042173,75,4,0.333333343,0,0,2,1,2,50,1,50,0.195007801,71.42857361,0.5,0.25,0,0,6,7,30,23.33333397,1,16.66666603,1.092043638,65.1162796,11.5,0.383333325,6,20,44,10,8.06E-05,1.83E-05,54,0.00988772,0.00012882,0.018217903,44,6561279,6571532,0.039077748,0.039016776,8,0.000121737,7.66E-13,3,5.833333492,0.001169591,0.002274204,3.570370436,0.595061719,0.717935681,0.799941778,1,9,198,6,0,1,0,21,2,12,0,2,2,13,56,5,13,21,24,2,5,6,10,56,21,16,29,119,39,0.47,23,68,6,48,0,13,2,55,1,0,2,2,8,3.615384615,1,7,3.076923077,1,4,1.461538462,1,1,0.315789474,0,0,0
2.416666508,0.604166627,0.858222306,0.123070255,2,1,2,50,1,50,0.390015602,71.42857361,0.5,0.25,0,0,2,1,2,50,1,50,0.858034313,91.66666412,0.5,0.25,0,0,4,4,12,33.33333206,1,25,1.092043638,73.68421173,4,0.333333343,2,16.66666603,3,2,5.49E-06,3.66E-06,5,0.00091553,6.52E-06,0.00092142,3,6566407,4912048,0.03904723,0.052198187,677.4772949,0.010309274,7.66E-13,172.4760437,3.833333254,0.067242123,0.001494477,3.325000048,0.831250012,0.37588495,0.084238514,0,4,34,1,0,1,0,1,1,7,1,3,1,1,25,1,1,1,3,0,0,1,1,1,1,1,3,8,1,3.12,1,4,1,2,0,0,1,0,1,0,2,1,2,2,2,3,3,3,1,1,1,0,0,0,0,0
5.705357075,0.815051019,0.54531306,0.276746362,1,0,0,0,1,100,0.27301091,100,0,0,0,0,6,3,30,10,3,50,1.833073378,74.6031723,13.5,0.449999988,0,0,7,6,42,14.28571415,3,42.8571434,1.872074842,68.57142639,18,0.428571433,3,7.142857075,12,2,2.20E-05,3.66E-06,14,0.002563483,3.26E-05,0.004616207,12,6568971,4891800,0.03903199,0.052414246,196.1595001,0.002984989,7.66E-13,164.3227081,2.833333254,0.064063437,0.001104613,5.89107132,0.841581643,0.407144547,0.294121742,0,7,111,4,0,2,1,11,2,11,0,3,2,6,42,1,6,11,17,2,1,4,4,19,11,9,14,58,17,0.72,11,31,4,19,0,6,2,58,2,0,3,1,2,1.333333333,1,4,2.333333333,1,4,1.833333333,1,1,0.625,0,0,0
